rank,tier,cliff,player,team,role,nationality,expected_batting_pos,expected_overs_bowled,matches_2025,total_pts_2025,avg_pts_2025,median_pts_2025,floor_p10_2025,ceiling_p90_2025,avg_batting_pts_2025,avg_bowling_pts_2025,concept_bat_pts,concept_bowl_pts,concept_total,player_fe_2025,blended_pts_per_match,pred_season_total,expected_games,prob_starting,prob_all_14,is_returning,notes
91,4,False,Jaydev Unadkat,SRH,Bowler,Indian,10,4,7,446.0,63.7,51.0,25.8,116.4,0.0,57.1,22.0,49.2,79.2,48.2,60.6,509.0,8.4,75.0,60.0,True,Experienced left-arm seamer; swing option; bowls 4 overs; may rotate with Shivam Mavi; more likely early season
92,4,False,David Miller,DC,Batter,Overseas,5,0,10,327.0,32.7,31.5,10.8,59.2,23.7,0.0,50.3,0.0,58.3,33.3,43.3,507.0,11.7,90.0,85.0,True,Overseas; SA left-hand finisher; acquired for INR 2 cr; experienced IPL performer; bats 5 or 6
93,4,False,Naman Dhir,MI,All-rounder,Indian,7,1,14,646.0,46.1,40.0,14.4,90.9,31.7,0.6,39.6,10.5,58.1,50.1,53.3,506.0,9.5,80.0,70.0,True,Young Indian left-hand bat; part-time offbreak. One of MI's key uncapped finds. Expected starter but could be rotated based on form.
94,5,False,Nitish Rana,DC,Batter,Indian,3,0,11,491.0,44.6,21.0,12.0,109.0,38.1,0.0,67.9,0.0,75.9,29.3,47.9,498.0,10.4,85.0,75.0,True,Traded to DC for INR 4.20 cr; left-hand bat provides stability at No.3; could rotate with Karun Nair based on form/matchup
95,5,False,Xavier Bartlett,PBKS,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,493.0,6.3,60.0,50.0,False,Overseas; Australian right-arm fast-medium; replaces Lockie Ferguson early season; will rotate with Ferguson once he returns mid-season
96,5,False,Tushar Deshpande,RR,Bowler,Indian,10,4,10,370.0,37.0,30.0,0.9,75.9,0.7,33.3,24.2,46.1,78.2,23.2,45.2,484.0,10.7,85.0,80.0,True,Indian seamer; consistent wicket-taker; bowls 4 overs; competes with Sandeep Sharma and Kuldeep Sen for one pace slot
97,5,False,Mitchell Santner,MI,All-rounder,Overseas,8,4,13,601.0,46.2,36.0,13.4,83.6,5.1,31.3,22.0,42.0,72.0,31.7,47.8,468.0,9.8,80.0,75.0,True,Overseas slot 3. NZ left-arm orthodox spin allrounder. Middle-overs control. Competing with Ghazanfar for spin overseas slot. Most predictions favor Santner.
98,5,False,Angkrish Raghuvanshi,KKR,Batter,Indian,3,0,11,586.0,53.3,56.0,13.0,78.0,45.8,0.0,67.9,0.0,75.9,50.8,60.9,463.0,7.6,70.0,55.0,True,Young Indian bat; scored century in intra-squad match; may bat 3 or 4; could be dropped for form/matchup reasons
99,5,False,Rashid Khan,GT,All-rounder,Overseas,8,4,15,552.0,36.8,29.0,4.4,73.0,4.3,25.9,24.2,41.2,73.5,10.2,35.5,462.0,13.0,98.0,90.0,True,"Overseas slot 3. World-class leg-spinner + lower-order hitter. Worst IPL season in 2025 (<10 wkts, eco 9+, avg 57). Still near-certain starter. Guaranteed 4 overs."
100,5,False,Deepak Chahar,MI,Bowler,Indian,9,4,14,579.0,41.4,42.5,7.6,81.9,4.6,32.1,22.0,49.2,79.2,39.0,55.1,446.0,8.1,75.0,55.0,True,Indian seamer; powerplay specialist. Has NEVER played all 14 matches in any IPL season. Fitness concerns. Will rotate with Shardul Thakur.
101,5,False,Ashutosh Sharma,DC,All-rounder,Indian,7,1,10,432.0,43.2,29.0,5.9,84.9,35.8,0.0,41.8,9.2,59.0,49.8,53.4,433.0,8.1,70.0,65.0,True,Right-hand power hitter; part-time medium pace; may rotate with Sameer Rizvi or Karun Nair based on matchups
102,5,False,MS Dhoni,CSK,WK-Batter,Indian,6,0,14,530.0,37.9,29.5,8.6,77.3,23.7,0.0,35.7,0.0,43.7,48.6,46.7,430.0,9.2,80.0,65.0,True,Finisher role; bats 6-7. CSK CEO says he'll play all matches but age (44) and knee concerns make rest likely. May be used as Impact Player some games. Samson keeps wicket when Dhoni plays as pure batter.
103,5,False,Jofra Archer,RR,Bowler,Overseas,9,4,12,635.0,52.9,51.0,16.8,73.1,8.6,40.7,24.2,46.1,78.2,27.3,47.7,425.0,8.9,85.0,50.0,True,Overseas slot 3; England express pacer; elite death bowler; massive injury history (elbow surgeries); has never completed a full IPL season healthy; 4 overs when he plays
104,5,False,Prasidh Krishna,GT,Bowler,Indian,11,4,15,1030.0,68.7,75.0,18.8,102.4,0.0,62.4,24.2,46.1,78.2,42.9,57.0,416.0,7.3,65.0,60.0,True,"Tall Indian seamer; bounce and pace. May rotate with R Sai Kishore depending on pitch. On spin-friendly tracks, Sai Kishore starts instead. Backup pacer role."
105,5,False,Aniket Verma,SRH,Batter,Indian,7,0,13,542.0,41.7,26.0,13.4,76.8,32.6,0.0,39.6,0.0,47.6,43.6,45.2,416.0,9.2,80.0,65.0,True,Uncapped breakout star from IPL 2025 (236 runs SR 166); finisher role; may be rotated with Harsh Dubey based on matchup
106,5,False,Devdutt Padikkal,RCB,Batter,Indian,3,0,10,525.0,52.5,46.0,4.7,108.5,45.3,0.0,67.9,0.0,75.9,29.5,48.1,404.0,8.4,75.0,60.0,True,Left-hand bat at No.3; elegant but inconsistent; may lose spot to Venkatesh Iyer or Bethell combination if struggling
107,6,False,Wanindu Hasaranga,LSG,All-rounder,Overseas,8,4,0,,,,,,,,24.2,41.2,73.5,,73.5,397.0,5.4,55.0,40.0,False,Overseas slot 4 (contested with Nortje). SL leg-spinning allrounder; 130+ T20I wickets. NOC DELAYED: hamstring tear (Feb 2026 T20 WC). Failed to attend SLC fitness test (Mar 23). Likely to miss first few matches. Preferred on spin-friendly tracks.
108,6,False,Pat Cummins,SRH,All-rounder,Overseas,8,4,14,869.0,62.1,65.0,5.8,126.7,11.6,44.7,22.0,49.2,79.2,40.4,55.9,386.0,6.9,70.0,40.0,True,Captain; Aus right-arm fast; lumbar stress injury; targeting mid-season return (approx match 7-8); replaces Brydon Carse in overseas slot when fit; will play back half + playoffs
109,6,False,Abdul Samad,LSG,All-rounder,Indian,6,1,13,401.0,30.8,14.0,6.0,66.8,22.5,0.1,41.8,7.9,57.8,35.1,44.2,385.0,8.7,75.0,65.0,True,Power-hitting allrounder; part-time legbreak (0-1 overs). Competes with Badoni and Himmat Singh for middle-order spots. Impact Player candidate.
110,6,False,Rahul Tewatia,GT,All-rounder,Indian,7,2,14,259.0,18.5,16.0,7.2,29.9,11.5,0.0,41.8,19.1,68.9,25.0,42.5,378.0,8.9,75.0,70.0,True,Left-hand finisher; part-time legbreak. Veteran presence. May rotate with Sai Kishore or be used as Impact Player depending on match-ups.
111,6,False,Will Jacks,MI,All-rounder,Overseas,6,2,13,751.0,57.8,40.0,12.6,126.0,31.3,16.9,39.6,21.0,68.6,35.8,48.9,367.0,7.5,65.0,65.0,True,Overseas slot 2 (contested with Rutherford). Power-hitting allrounder + off-spin. T20 World Cup 2026 star. Likely gets first preference over Rutherford but will rotate.
112,6,False,Mohammed Shami,LSG,Bowler,Indian,9,4,9,282.0,31.3,38.0,0.8,56.0,1.6,26.7,24.2,46.1,78.2,16.1,40.9,356.0,8.7,75.0,65.0,True,India seamer. Post-injury concerns but found form in SMAT 2025 (16 wkts in 7 games). Aakash Chopra tips him as LSG highest wicket-taker. Workload management likely; may miss 3-5 games.
113,6,False,R Sai Kishore,GT,All-rounder,Indian,9,4,15,758.0,50.5,44.0,6.4,82.2,0.3,44.5,24.2,38.9,71.0,41.9,53.6,348.0,6.5,60.0,55.0,True,Left-arm orthodox spinner. 19 wickets in IPL 2025. Rotates with Prasidh Krishna depending on conditions. Impact Player candidate. Excellent economy.
114,6,False,Shivam Mavi,SRH,Bowler,Indian,11,4,0,,,,,,,,22.0,49.2,79.2,,79.2,348.0,4.4,45.0,40.0,False,Indian right-arm fast; plays when overseas quota is full or as rotation option for Unadkat; new-ball option
115,6,False,Spencer Johnson,CSK,Bowler,Overseas,10,4,0,,,,,,,,18.1,46.8,72.9,,72.9,343.0,4.7,50.0,35.0,False,Nathan Ellis replacement (INR 1.5 cr). Recovering from back injury; won't be available until ~Apr 21. Will miss first 4+ matches. Left-arm fast. Strong option once fit.
116,6,False,Jacob Bethell,RCB,All-rounder,Overseas,5,2,0,,,,,,,,50.3,17.9,76.2,,76.2,343.0,4.5,40.0,60.0,False,NOT in likely first XI but huge pressure to include after T20 WC century vs India; left-arm orthodox spin option; if Salt/Duffy/Shepherd dropped he comes in; likely plays 8-10 matches across season
117,6,False,Matthew Short,CSK,All-rounder,Overseas,3,2,0,,,,,,,,61.8,23.8,93.6,,93.6,337.0,3.6,40.0,30.0,False,Australian all-rounder. Fractured thumb; will miss start of tournament. Off-spin option. Could slot into top order once fit but overseas competition is fierce.
118,6,False,Akeal Hosein,CSK,Bowler,Overseas,8,4,0,,,,,,,,18.1,44.8,70.9,,70.9,333.0,4.7,45.0,50.0,False,Overseas wildcard. WI left-arm orthodox spinner. Competes with Overton/Henry for 4th overseas slot. Likely plays at Chepauk (spin-friendly). INR 2 cr buy.
119,6,False,Quinton de Kock,MI,WK-Batter,Overseas,2,0,8,338.0,42.2,13.0,5.0,100.0,34.8,0.0,70.3,0.0,78.3,3.9,33.7,300.0,8.9,75.0,70.0,True,Overseas slot 1. Confirmed opening partner with Rohit. Primary wicketkeeper. SA keeper-batter. INR 1 cr bargain. May rotate with Rickelton in some matches.
120,7,False,Mitchell Starc,DC,Bowler,Overseas,10,4,12,669.0,55.8,32.5,5.7,130.3,0.5,48.4,24.2,46.1,78.2,37.1,53.6,279.0,5.2,50.0,50.0,True,Elite left-arm fast; awaiting Cricket Australia NOC; will miss first few matches due to workload management; when available replaces Ngidi in overseas slot
121,7,False,Harsh Dubey,SRH,All-rounder,Indian,9,4,8,238.0,29.8,21.5,9.2,61.3,23.2,0.0,22.0,42.0,72.0,34.2,49.3,276.0,5.6,55.0,45.0,True,Right-arm offbreak spinner; bats lower order; plays as primary spinner option; competes with Zeeshan Ansari
122,7,False,Shardul Thakur,MI,All-rounder,Indian,9,4,10,541.0,54.1,48.5,13.6,94.8,2.8,47.1,22.0,49.2,79.2,33.5,51.8,269.0,5.2,50.0,50.0,True,Traded from LSG. Seam-bowling allrounder. Rotates with Deepak Chahar. Adds batting depth. May be used as Impact Player.
123,7,False,Kartik Sharma,CSK,All-rounder,Indian,4,2,5,272.0,54.4,36.0,8.8,109.6,0.2,49.0,44.2,23.8,76.0,50.8,60.9,256.0,4.2,40.0,50.0,True,INR 14.20 cr uncapped buy. WK-batter; aggressive finisher being groomed as Dhoni successor. Left-arm spin. May play when Dhoni is rested or as Impact Player.
124,7,False,Mitch Owen,PBKS,All-rounder,Overseas,3,1,0,,,,,,,,67.9,9.2,85.1,,85.1,255.0,3.0,25.0,35.0,False,Overseas; BBL star with Hobart Hurricanes; can bat 3-4; Irfan Pathan suggested rotating with Iyer at 3/4; competes for overseas slot
125,7,False,Lhuan-Dre Pretorius,RR,All-rounder,Overseas,7,3,0,,,,,,,,41.8,33.8,83.6,,83.6,251.0,3.0,15.0,15.0,False,Overseas backup; SA pace AR; deep backup behind Shanaka/Ferreira; unlikely to feature unless multiple overseas injuries
126,7,False,Mayank Markande,MI,Bowler,Indian,10,4,0,,,,,,,,22.0,44.4,74.4,,74.4,246.0,3.3,35.0,35.0,False,Indian legspinner. Traded acquisition. May play when MI want an Indian spinner instead of overseas Santner/Ghazanfar. Competes for spin slot.
127,7,False,Digvesh Rathi,LSG,Bowler,Indian,10,4,13,609.0,46.8,48.0,14.6,74.0,0.1,41.1,24.2,46.1,78.2,18.5,42.4,246.0,5.8,55.0,50.0,True,Indian seamer; uncapped. X-factor with wicket-taking ability. Multiple experts include him in starting XI. Could start if Hasaranga unavailable and team needs 4th seamer.
128,7,False,Prithvi Shaw,DC,Batter,Indian,2,0,0,,,,,,,,72.5,0.0,80.5,,80.5,242.0,3.0,25.0,30.0,False,Could open alongside KL Rahul; strong Ranji form (537 runs at 48.82); Indian opener saves overseas slot; fitness/discipline concerns historically
129,7,False,Mohammad Izhar,MI,Bowler,Indian,11,4,0,,,,,,,,22.0,49.2,79.2,,79.2,238.0,3.0,5.0,10.0,False,Indian seamer. Deep reserve.
130,7,False,Corbin Bosch,MI,All-rounder,Overseas,8,4,0,,,,,,,,22.0,49.2,79.2,,79.2,238.0,3.0,15.0,20.0,False,SA pace-bowling allrounder. 140+ kph. Aakash Chopra's wildcard pick. Unlikely regular starter with Boult/Santner/Jacks/de Kock filling overseas slots.
131,7,False,Vishal Nishad,PBKS,Bowler,Indian,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,5.0,10.0,False,Indian seamer; lowest priority backup pacer
132,7,False,Kuldeep Sen,RR,Bowler,Indian,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,20.0,20.0,False,Indian backup seamer; right-arm fast; plays if Tushar or Sandeep injured/rested
133,7,False,Kwena Maphaka,RR,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,25.0,25.0,False,Overseas backup; SA left-arm fast teenager; exciting raw talent; may get games mid-season if Archer injured or rotation needed
134,7,False,Adam Milne,RR,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,30.0,25.0,False,Overseas backup pacer; NZ right-arm fast; competes with Nandre Burger and Maphaka for the 4th overseas slot
135,7,False,Umran Malik,KKR,Bowler,Indian,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,25.0,35.0,False,Express pace; expected to be used as impact sub for bowling innings; plays 4-6 matches
136,7,False,Vyshak Vijaykumar,PBKS,Bowler,Indian,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,30.0,40.0,False,Indian right-arm fast-medium; backup seamer; plays if overseas pace quota is full or on seam-friendly tracks needing extra pace
137,7,False,Ben Dwarshuis,PBKS,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,20.0,30.0,False,Overseas; Australian left-arm fast-medium; INR 4.40 cr; T20 seam expertise; backup pace option when Ferguson absent and Bartlett rested
138,7,False,Lockie Ferguson,PBKS,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,0.0,35.0,False,Overseas; NZ right-arm fast; on paternity leave; will miss first ~7 matches; expected to return mid-season; when available competes with Bartlett for overseas pace slot
139,7,False,Kyle Jamieson,DC,All-rounder,Overseas,8,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,10.0,20.0,False,Overseas; NZ tall seam-bowling allrounder; low priority in overseas pecking order behind Starc/Ngidi/Stubbs/Miller/Nissanka
140,7,False,Rasikh Dar,RCB,Bowler,Indian,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,30.0,40.0,False,Indian seamer; impact sub option; could start if Mangesh Yadav struggles; likely plays 5-7 matches
141,7,False,Nuwan Thushara,RCB,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,235.0,3.0,0.0,0.0,False,Failed SLC fitness test; did NOT receive NOC from Sri Lanka Cricket; unavailable for IPL 2026
142,7,False,Zak Foulkes,CSK,Bowler,Overseas,11,4,0,,,,,,,,18.1,52.0,78.1,,78.1,234.0,3.0,10.0,15.0,False,Australian seamer. Arriving late but before first game. Deep overseas reserve. Unlikely to play unless injuries to other overseas pacers.
143,7,False,Mukesh Choudhary,CSK,Bowler,Indian,11,4,2,49.0,24.5,24.5,8.1,40.9,0.0,24.5,18.1,52.0,78.1,,78.1,234.0,3.0,10.0,20.0,False,Left-arm fast-medium backup. Fourth-choice Indian seamer.
144,7,False,Ramakrishna Ghosh,CSK,Bowler,Indian,11,4,0,,,,,,,,18.1,52.0,78.1,,78.1,234.0,3.0,10.0,15.0,False,Indian seamer. Deep backup pace option.
145,7,False,Gurjapneet Singh,CSK,Bowler,Indian,11,4,0,,,,,,,,18.1,52.0,78.1,,78.1,234.0,3.0,15.0,25.0,False,Left-arm fast-medium. CSK academy product. Net bowler turned squad player. INR 2.2 cr. Deep reserve pacer.
146,7,False,Shreyas Gopal,CSK,Bowler,Indian,9,4,0,,,,,,,,18.1,47.2,73.3,,73.3,220.0,3.0,15.0,25.0,False,Legbreak bowler. Backup spinner behind Prashant Veer and Noor Ahmad. Rarely needed given spin depth.
147,7,False,Navdeep Saini,KKR,Bowler,Indian,10,4,0,,,,,,,,24.2,40.9,73.0,,73.0,219.0,3.0,20.0,25.0,False,Injury replacement for Harshit Rana; backup seamer; likely plays only 2-4 matches if Tyagi/Arora are fit
148,7,False,Atharva Ankolekar,MI,All-rounder,Indian,9,4,0,,,,,,,,22.0,42.0,72.0,,72.0,216.0,3.0,10.0,15.0,False,Indian left-arm orthodox spinner. Deep reserve spin option.
149,7,False,AM Ghazanfar,MI,Bowler,Overseas,10,4,0,,,,,,,,22.0,42.0,72.0,,72.0,216.0,3.0,20.0,25.0,False,Afghan mystery off-spinner. Aakash Chopra backs him. Alternative to Santner for overseas spin slot. May play at spin-friendly venues.
150,7,False,Suryansh Shedge,PBKS,All-rounder,Indian,7,2,3,22.0,7.3,6.0,1.2,14.0,2.3,0.3,41.8,21.5,71.2,,71.2,214.0,3.0,10.0,20.0,False,Young Indian allrounder; squad depth; unlikely to start barring injuries
151,7,False,Mohsin Khan,LSG,Bowler,Indian,10,4,11,444.0,40.4,24.0,16.0,78.0,28.8,2.8,24.2,46.1,78.2,40.9,55.8,212.0,3.8,40.0,35.0,True,Left-arm fast. Backup pacer. Plays when Shami/Mayank unavailable. Has talent but limited opportunities with stacked pace lineup.
152,7,False,Sandeep Sharma,RR,Bowler,Indian,10,4,14,452.0,32.3,15.5,5.2,76.7,0.0,28.1,24.2,46.1,78.2,15.8,40.8,212.0,5.2,50.0,50.0,True,Backup Indian seamer; swing bowler; plays if Tushar rested or conditions suit swing; veteran option
153,7,False,Himmat Singh,LSG,Batter,Indian,6,1,1,12.0,12.0,12.0,12.0,12.0,0.0,0.0,41.8,7.3,57.2,,57.2,206.0,3.6,40.0,30.0,False,Right-hand bat; part-time off-spin. Impact Player candidate per Aakash Chopra. Competes with Badoni/Samad for middle-order spot.
154,7,False,Arshin Kulkarni,LSG,All-rounder,Indian,7,2,0,,,,,,,,41.8,17.9,67.7,,67.7,203.0,3.0,25.0,20.0,False,Indian allrounder; bat and off-spin. Provides flexibility but behind Shahbaz Ahmed and Badoni in pecking order.
155,7,False,Ashwani Kumar,MI,Bowler,Indian,11,4,7,441.0,63.0,52.0,22.2,114.8,0.0,59.3,22.0,49.2,79.2,56.9,65.8,197.0,3.0,15.0,20.0,True,"Indian seamer. Backup pace option behind Bumrah, Chahar, Thakur."
156,7,False,Swapnil Singh,RCB,Bowler,Indian,10,4,14,739.0,52.8,37.5,5.3,114.5,42.7,0.2,24.2,38.9,71.0,59.2,64.0,192.0,3.0,15.0,20.0,True,Left-arm orthodox; backup spinner; plays only on spin-friendly surfaces
157,7,False,Josh Hazlewood,RCB,Bowler,Overseas,11,4,12,896.0,74.7,84.0,12.5,121.5,0.0,70.0,24.2,46.1,78.2,54.2,63.8,191.0,3.0,0.0,55.0,True,Overseas; injured (Achilles/hamstring); joined RCB camp Mar 26 but expected to miss first 3-5 matches; return estimated mid-April; when fit replaces Duffy
158,7,False,Vipraj Nigam,DC,Bowler,Indian,9,4,14,796.0,56.9,49.0,7.3,105.4,18.6,30.6,24.2,46.1,78.2,39.7,55.1,187.0,3.4,35.0,40.0,True,20-year-old spinner; 142 runs and 11 wickets in 14 matches last season; may play as third spinner on turning tracks
159,7,False,Donovan Ferreira,RR,All-rounder,Overseas,7,1,0,,,,,,,,41.8,7.3,57.2,,57.2,183.0,3.2,35.0,30.0,False,Overseas backup; SA batting AR with part-time offbreak; R Ashwin's pick as finisher; competes for overseas slot with Shanaka/Burger; plays in specific matchups
160,7,False,Eshan Malinga,SRH,Bowler,Overseas,11,4,7,506.0,72.3,79.0,39.0,94.8,0.0,66.6,22.0,49.2,79.2,48.3,60.7,182.0,3.0,30.0,30.0,True,Overseas backup; SL right-arm fast; cleared fitness test after shoulder dislocation; plays only if another overseas player is injured/rested
161,7,False,Anshul Kamboj,CSK,All-rounder,Indian,9,4,8,396.0,49.5,51.0,9.2,77.7,2.8,41.5,18.1,52.0,78.1,48.1,60.1,180.0,3.0,30.0,40.0,True,Indian seam-bowling allrounder. Third Indian pacer option behind Khaleel. Strong domestic season. Backup to Khaleel/pace bowling slot.
162,7,False,Rovman Powell,KKR,All-rounder,Overseas,6,1,0,,,,,,,,41.8,9.2,59.0,,59.0,177.0,3.0,15.0,30.0,False,Overseas; WI power-hitter; competes for overseas slot but unlikely to start with Allen/Green/Narine/Muzarabani taking 4 spots; impact sub option
163,7,False,Madhav Tiwari,DC,Batter,Indian,5,0,0,,,,,,,,50.3,0.0,58.3,,58.3,175.0,3.0,10.0,15.0,False,Young Indian batter; squad depth option; unlikely to start
164,7,False,Harnoor Singh Pannu,PBKS,Batter,Indian,4,0,0,,,,,,,,50.3,0.0,58.3,,58.3,175.0,3.0,5.0,10.0,False,Left-hand bat; young talent; deep squad backup
165,7,False,Manish Pandey,KKR,Batter,Indian,4,0,0,,,,,,,,50.3,0.0,58.3,,58.3,175.0,3.0,20.0,30.0,False,Experienced Indian bat; backup middle-order option; plays if Raghuvanshi dropped
166,7,False,Kumar Kushagra,GT,WK,Indian,4,0,0,,,,,,,,50.3,0.0,58.3,,58.3,175.0,3.0,20.0,15.0,False,Uncapped WK-bat from Jharkhand. R Ashwin picked him in his XII. Could be Impact Player option. Unlikely to start unless Buttler rested.
167,7,False,Sherfane Rutherford,MI,All-rounder,Overseas,6,0,11,595.0,54.1,62.0,17.0,82.0,46.3,0.0,39.6,0.0,47.6,53.2,51.0,173.0,3.4,35.0,40.0,True,Overseas wildcard. WI power-hitter. Competes with Will Jacks for 4th overseas slot. Wasim Jaffer picks him over Jacks. May play at specific venues needing extra batting depth.
168,7,False,Mukesh Kumar,DC,Bowler,Indian,11,4,12,520.0,43.3,37.5,7.0,71.3,0.0,40.8,24.2,46.1,78.2,27.8,48.0,173.0,3.6,35.0,45.0,True,Indian right-arm seamer; 12 wickets in 12 innings previously; backup pacer; plays if Natarajan/Nabi rested or injured
169,7,False,Sameer Rizvi,DC,All-rounder,Indian,7,1,4,263.0,65.8,60.5,19.2,116.5,55.8,0.0,41.8,7.3,57.2,,57.2,172.0,3.0,20.0,30.0,False,Young Indian allrounder; batting backup for middle order; competes with Ashutosh Sharma
170,7,False,Venkatesh Iyer,RCB,All-rounder,Indian,6,2,8,322.0,40.2,16.5,10.5,104.1,30.2,0.0,41.8,21.5,71.2,40.9,53.1,170.0,3.2,30.0,50.0,True,Left-hand bat; medium pace option; may come in for Padikkal or as impact sub; squad player
171,7,False,Harshit Rana,KKR,Bowler,Indian,10,4,13,752.0,57.8,67.0,14.2,95.8,7.6,44.8,24.2,46.1,78.2,41.0,55.9,168.0,3.0,0.0,0.0,True,Ruled out entire IPL 2026; knee surgery after T20 WC warm-up injury; replaced by Navdeep Saini
172,7,False,Karun Nair,DC,Batter,Indian,4,0,8,470.0,58.8,34.0,2.0,121.9,47.8,0.0,50.3,0.0,58.3,25.8,38.8,163.0,4.2,40.0,50.0,True,Middle-order bat; strong domestic form; retained player; likely 12th/13th man unless top order struggles; backup for positions 3-5
173,7,False,Ryan Rickelton,MI,Batter,Overseas,2,0,14,994.0,71.0,61.5,31.2,127.7,52.1,0.0,70.3,0.0,78.3,37.9,54.0,162.0,3.0,25.0,35.0,True,SA left-hand bat. Backup opener to de Kock. May play if de Kock is rested or if left-right combo preferred. Unlikely regular starter.
174,7,False,Pyla Avinash,PBKS,All-rounder,Indian,8,2,0,,,,,,,,24.2,21.5,53.7,,53.7,161.0,3.0,5.0,15.0,False,Indian allrounder; squad depth option
175,7,False,Kamindu Mendis,SRH,All-rounder,Overseas,6,2,5,257.0,51.4,56.0,4.2,98.2,28.4,15.8,39.6,21.0,68.6,42.7,53.1,159.0,3.0,20.0,20.0,True,Overseas backup; SL left-hand bat with offbreak bowling; NOC cleared; plays in specific matchups if overseas slot opens; strong batting talent
176,7,False,Josh Inglis,LSG,WK-Batter,Overseas,4,0,11,672.0,61.1,65.0,23.0,100.0,46.4,0.0,50.3,0.0,58.3,49.7,53.1,159.0,3.0,5.0,5.0,True,Overseas WK-bat signed for INR 8.6 cr. Expected to be UNAVAILABLE for much of IPL 2026. Behind Pooran and Pant as WK options. Unlikely to feature.
177,7,False,Rahul Chahar,CSK,Bowler,Indian,10,4,14,579.0,41.4,42.5,7.6,81.9,4.6,32.1,18.1,47.2,73.3,39.0,52.7,158.0,3.0,20.0,30.0,True,Indian legspinner. Third spin option behind Noor Ahmad and Prashant Veer. May rotate in at specific venues.
178,7,False,Urvil Patel,CSK,Batter,Indian,5,0,3,170.0,56.7,73.0,16.2,90.6,43.3,0.0,44.2,0.0,52.2,,52.2,157.0,3.0,15.0,20.0,False,Power-hitting batter. Deep backup option. Unlikely to feature unless multiple injuries.
179,7,False,Sarfaraz Khan,CSK,Batter,Indian,4,0,0,,,,,,,,44.2,0.0,52.2,,52.2,157.0,3.0,30.0,40.0,False,Indian middle-order bat. Competes with Mhatre/Kartik Sharma for middle-order spots. Strong domestic form but crowded batting lineup.
180,7,False,Yash Thakur,PBKS,Bowler,Indian,11,4,10,541.0,54.1,48.5,13.6,94.8,2.8,47.1,24.2,46.1,78.2,33.5,51.4,154.0,3.0,20.0,30.0,True,Indian right-arm fast-medium; squad depth seamer; backup for Arshdeep Singh
181,7,False,Shubham Dubey,RR,Batter,Indian,3,0,8,238.0,29.8,21.5,9.2,61.3,23.2,0.0,67.9,0.0,75.9,34.2,50.9,153.0,3.0,25.0,20.0,True,Indian backup batter; right-hand bat; plays if Suryavanshi rested or team needs more experience in middle order
182,7,False,Musheer Khan,PBKS,Batter,Indian,5,1,11,444.0,40.4,24.0,16.0,78.0,28.8,2.8,50.3,7.3,65.7,40.9,50.8,152.0,3.0,20.0,30.0,True,Young left-hand bat; left-arm orthodox bowling option; batting insurance if top order struggles; squad depth
183,7,False,Pravin Dubey,PBKS,Bowler,Indian,10,4,8,238.0,29.8,21.5,9.2,61.3,23.2,0.0,24.2,41.2,73.5,34.2,49.9,150.0,3.0,5.0,15.0,True,Right-arm legbreak; covers for Chahal as legspinner insurance; unlikely to start
184,7,False,Anuj Rawat,GT,WK,Indian,7,0,0,,,,,,,,41.8,0.0,49.8,,49.8,149.0,3.0,15.0,10.0,False,Backup Indian WK-bat. Would only play if Buttler unavailable and management wants Indian WK. Behind Kushagra in pecking order per most experts.
185,7,False,Vishnu Vinod,PBKS,WK-Batter,Indian,7,0,0,,,,,,,,41.8,0.0,49.8,,49.8,149.0,3.0,5.0,15.0,False,Backup wicketkeeper; only plays if Prabhsimran Singh injured
186,7,False,Cooper Connolly,PBKS,All-rounder,Overseas,6,0,0,,,,,,,,41.8,0.0,49.8,,49.8,149.0,3.0,15.0,25.0,False,Overseas; Australian left-hand bat/left-arm orthodox; suspected stress fracture in back means he may not bowl; limited to batting role reduces value; squad depth option
187,7,False,Tejasvi Singh,KKR,WK,Indian,6,0,0,,,,,,,,41.8,0.0,49.8,,49.8,149.0,3.0,15.0,20.0,False,Young WK-bat; uncapped; backup keeper option if Allen is rested and different overseas combo used
188,7,False,Matheesha Pathirana,KKR,Bowler,Overseas,11,4,12,556.0,46.3,53.0,5.1,89.3,0.0,41.7,24.2,46.1,78.2,27.9,48.0,144.0,3.0,0.0,55.0,True,Overseas; hamstring injury; expected return mid-April; INR 18 cr buy; replaces Muzarabani when fit; may miss 3-5 early matches
